City_x,Country,CityCountry,City_y,osm_url,flag,geohash,drives_on,bounds,latitude,longitude
Graz,Austria,"Graz, Austria","Graz, Austria",https://www.openstreetmap.org/?mlat=47.07087&mlon=15.43828#map=16/47.07087/15.43828,🇦🇹,u26gz2cz9vwzs567jhb3,right,"{'northeast': {'lat': 47.1345, 'lng': 15.5342006}, 'southwest': {'lat': 47.0118864, 'lng': 15.3497141}}",47.0708678,15.4382786
Vienna,Austria,"Vienna, Austria","Vienna, Austria",https://www.openstreetmap.org/?mlat=48.20835&mlon=16.37250#map=17/48.20835/16.37250,🇦🇹,u2edk8444brzr1tf3xdv,right,"{'northeast': {'lat': 48.3226679, 'lng': 16.5775132}, 'southwest': {'lat': 48.1179069, 'lng': 16.181831}}",48.2083537,16.3725042
Baku,Azerbaijan,"Baku, Azerbaijan","Baku, Azerbaijan",https://www.openstreetmap.org/?mlat=40.37559&mlon=49.83280#map=16/40.37559/49.83280,🇦🇿,tp5mtyphu7jwchtur08y,right,"{'northeast': {'lat': 40.79689, 'lng': 51.1765554}, 'southwest': {'lat': 39.5311636, 'lng': 49.2187514}}",40.3755885,49.8328009
Dhaka,Bangladesh,"Dhaka, Bangladesh","Dhaka, Bangladesh",https://www.openstreetmap.org/?mlat=23.76440&mlon=90.38902#map=17/23.76440/90.38902,🇧🇩,wh0r0y5m8twweqw8q4qx,left,"{'northeast': {'lat': 23.9244025, 'lng': 90.549015}, 'southwest': {'lat': 23.6044025, 'lng': 90.229015}}",23.7644025,90.389015
Minsk,Belarus,"Minsk, Belarus","Minsk, Belarus",https://www.openstreetmap.org/?mlat=53.90247&mlon=27.56182#map=17/53.90247/27.56182,🇧🇾,u9edehtuthbrtkjrymky,right,"{'northeast': {'lat': 53.9717897, 'lng': 28.0799469}, 'southwest': {'lat': 53.793847, 'lng': 27.3740176}}",53.9024716,27.5618225
Antwerp,Belgium,"Antwerp, Belgium","Antwerp, Belgium",https://www.openstreetmap.org/?mlat=51.22111&mlon=4.39971#map=17/51.22111/4.39971,🇧🇪,u155kheb8duhu7y6z2fu,right,"{'northeast': {'lat': 51.3776356, 'lng': 4.4979684}, 'southwest': {'lat': 51.1432868, 'lng': 4.2175769}}",51.2211097,4.3997081
Brussels,Belgium,"Brussels, Belgium","Brussels, Belgium",https://www.openstreetmap.org/?mlat=50.84656&mlon=4.35170#map=16/50.84656/4.35170,🇧🇪,u151702f9vk2ybz3pt07,right,"{'northeast': {'lat': 50.9139045, 'lng': 4.4370711}, 'southwest': {'lat': 50.7964079, 'lng': 4.3140021}}",50.8465573,4.351697
Mortsel,Belgium,"Mortsel, Belgium","Mortsel, Belgium",https://www.openstreetmap.org/?mlat=51.17041&mlon=4.45670#map=17/51.17041/4.45670,🇧🇪,u155j7m328hhdwgd4746,right,"{'northeast': {'lat': 51.189549, 'lng': 4.4840387}, 'southwest': {'lat': 51.1610297, 'lng': 4.4329526}}",51.1704119,4.4566996
Saint-Nicolas,Belgium,"Saint-Nicolas, Belgium","Saint-Nicolas, Belgium",https://www.openstreetmap.org/?mlat=51.16467&mlon=4.13951#map=16/51.16467/4.13951,🇧🇪,u14gn4nrc9kpvpzj2j4p,right,"{'northeast': {'lat': 51.2078059, 'lng': 4.2216963}, 'southwest': {'lat': 51.1295911, 'lng': 3.9853092}}",51.1646685,4.1395124
Abomey-Calavi,Benin,"Abomey-Calavi, Benin","Abomey-Calavi, Benin",https://www.openstreetmap.org/?mlat=6.45386&mlon=2.35425#map=17/6.45386/2.35425,🇧🇯,s11stwfk3zkk9ccpnd09,right,"{'northeast': {'lat': 6.6138637, 'lng': 2.514245}, 'southwest': {'lat': 6.2938637, 'lng': 2.194245}}",6.4538637,2.354245
Cochabamba,Bolivia,"Cochabamba, Bolivia","Cochabamba, Bolivia",https://www.openstreetmap.org/?mlat=-17.40125&mlon=-66.16757#map=17/-17.40125/-66.16757,🇧🇴,6sbvn24nrutjxbcedbmc,right,"{'northeast': {'lat': -17.2781245, 'lng': -66.0701785}, 'southwest': {'lat': -17.5257851, 'lng': -66.2783356}}",-17.4012458,-66.1675681
